SYMBOL,ASKPRICE,ASKQTY,BIDPRICE,BIDQTY,CLOSETIME,COUNT,FIRSTID,HIGHPRICE,LASTID,LASTPRICE,LASTQTY,LOWPRICE,OPENPRICE,OPENTIME,PREVCLOSEPRICE,PRICECHANGE,PRICECHANGEPERCENT,QUOTEVOLUME,VOLUME,WEIGHTEDAVGPRICE
ETCBTC,0.00083300,143.82000000,0.00083200,36.97000000,1638428052154,4706,37635727,0.00086200,37640432,0.00083100,24.63000000,0.00082700,0.00085700,1638341652154,0.00085700,-0.00002600,-3.034,52.63630751,62712.69000000,0.00083932
MTHBTC,0.00000064,775562.00000000,0.00000063,998257.00000000,1638428050648,1031,7168490,0.00000067,7169520,0.00000063,1333.00000000,0.00000063,0.00000064,1638341650648,0.00000064,-0.00000001,-1.562,6.45812547,9976650.00000000,0.00000065
MTHETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00004135,0.00000000,0.000,0.00000000,0.00000000,0.00000000
ENGBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00006200,0.00000000,0.000,0.00000000,0.00000000,0.00000000
ENGETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00186480,0.00000000,0.000,0.00000000,0.00000000,0.00000000
DNTBTC,0.00000291,20207.00000000,0.00000290,17102.00000000,1638428035591,5394,12818069,0.00000300,12823462,0.00000290,2989.00000000,0.00000284,0.00000297,1638341635591,0.00000298,-0.00000007,-2.357,17.45000970,5993541.00000000,0.00000291
ZECBTC,0.00385700,1.34100000,0.00385400,17.11100000,1638428055166,25465,22500726,0.00430400,22526190,0.00385700,0.05000000,0.00380000,0.00390300,1638341655166,0.00390300,-0.00004600,-1.179,239.94945252,59606.85100000,0.00402553
ZECETH,0.04823000,2.29300000,0.04818000,0.22900000,1638428056184,3406,3253871,0.05286000,3257276,0.04836000,0.22100000,0.04593000,0.04694000,1638341656184,0.04699000,0.00142000,3.025,322.34695659,6475.47900000,0.04977963
BNTBTC,0.00007124,214.80000000,0.00007109,284.70000000,1638428046872,3993,7172789,0.00007514,7176781,0.00007124,49.80000000,0.00007018,0.00007334,1638341646872,0.00007344,-0.00000210,-2.863,23.20877772,318991.80000000,0.00007276
ASTBTC,0.00000704,10295.00000000,0.00000702,267.00000000,1638428055705,14929,13757530,0.00000761,13772458,0.00000704,3865.00000000,0.00000674,0.00000755,1638341655705,0.00000751,-0.00000051,-6.755,41.75887473,5863963.00000000,0.00000712
ASTETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00006960,0.00000000,0.000,0.00000000,0.00000000,0.00000000
DASHBTC,0.00310700,6.75700000,0.00310400,7.20000000,1638428054932,5948,24559217,0.00319300,24565164,0.00310500,5.00000000,0.00307300,0.00315800,1638341654932,0.00315700,-0.00005300,-1.678,40.23292637,12810.44300000,0.00314064
